====================Distance: Mahalanobis===================

Age:

   23.0148   -1.1465
   18.4547   -2.4530
   24.1531   -1.7476
   20.2463   -1.2906
   24.7363   -1.0814
   23.4275   -1.5615
   21.3359   -3.8480
   23.3272    3.0455
   19.7821    2.2469
   34.6461    0.4891
   19.7278    3.5189
   22.5408   -2.2652
   25.3958    2.0754
   17.6780    2.5310
   16.4485   -1.5703
   24.5937    1.4228
   18.1877    2.2617
   34.4605    0.2073
   19.4535    2.5159
   21.4551   -0.2968
   19.0078    2.0543
   22.8033   -0.3422
   33.0391    0.3020
   19.3046   -1.3069
   21.1469    1.4274
   18.2099   -2.2656
   29.8571    0.3787
   19.8654    0.1460
   23.2610    3.0473
   30.1389   -0.4088
   22.3565    1.4105
   28.7257    0.4497
   28.9969    0.1722
   22.6326    1.1391


Land Use:

    7.8066    3.5360
   18.6840    0.6301
   14.5390    1.3058
    7.7270    3.4674
    7.8310    3.6720
   12.1533    5.1377
    7.9739    3.6232
    7.3117   -0.4612
    8.1152   -1.1768
   19.1407    1.3782
   11.6274   -3.7448
   27.1374    1.9131
   14.9638   -2.6517
    8.2764    2.8575
    8.2402   -1.8369
   10.2150   -0.0939
    7.3100   -1.0032
   15.1341    1.1985
    8.3868   -1.8763
   14.9973   -1.0243
   13.0537   -1.8902
   18.8727    2.6954
    8.1059   -0.9953
   16.8899    0.3012
    8.8483    1.0459
   11.7357    4.7546
    8.8575    3.2335
    8.4016    2.5012
   11.9089    4.9013
    8.5705   -1.2419
   13.8108   -4.1690
   24.2015    1.0404
   10.3208   -0.4031
   12.0376    1.6658

====================Distance: Cosine===================

Age:

    0.0907    0.1539
    0.1139    0.1321
    0.1523    0.1869
    0.1774   -0.0003
    0.1875    0.0567
    0.1382    0.3488
    0.1123    0.1126
    0.2120    0.0169
    0.2060   -0.0196
    0.3553    0.0169
    0.2134   -0.0237
    0.1547    0.0215
    0.1489    0.0288
    0.0973    0.1072
    0.0997    0.0931
    0.2189    0.4294
    0.0909    0.1806
    1.0537    0.6224
    0.1914   -0.0020
    0.1307    0.1953
    0.2003    0.4349
    0.3319   -0.0574
    1.4867   -0.0282
    0.1074    0.2398
    0.1890    0.4107
    0.1021    0.1109
    0.4645   -0.0734
    0.1343    0.3399
    0.2200    0.4460
    0.1381    0.2685
    0.2669   -0.0158
    0.3950   -0.0804
    0.1622    0.1701
    0.2259    0.4450

Land:

   -0.2660    1.0378
    0.0454    0.9416
    2.5955    0.8873
   -0.2566    1.0009
   -0.2555    0.9876
    0.4950    0.4235
   -0.0928    0.7075
   -0.2425    0.9472
   -0.2975    1.3595
    3.3275    1.3326
   -0.2984    1.1989
    1.3724    1.9243
    0.2602    0.6631
   -0.2945    1.2978
   -0.2917    1.2324
   -0.1306    0.9133
   -0.2841    1.0928
    2.4400    0.8240
   -0.2913    1.2608
    1.9767    0.6705
   -0.2658    1.2196
    0.0975    1.4749
    0.0081    0.6197
    0.3331    0.6231
   -0.0462    0.6636
    0.3573    0.4832
    0.1281    0.5517
   -0.2890    1.2888
    0.0682    0.5801
   -0.0143    0.6480
   -0.2895    1.4113
    1.2230    1.3713
    0.6188    0.4230
   -0.2410    1.1037
